clf,metric,group,base,iter_0,iter_1,iter_2,iter_3,iter_4
LG_equal,FP,g1,0.5247374221389333,0.3439625673840461,0.5351811338508586,0.22121256688984697,0.3297340813530776,0.21712667706461555
LG_equal,FN,g0,0.9718045112781954,0.6523000980712652,0.9310559732664995,1.0,1.0,1.0
LG_equal,FN,g1,0.10322350580176912,0.21261609507588536,0.12827628308707428,0.2982984434225905,0.23600025128069793,0.3316141968817825
LG_equal,roc,g0,0.753488148861565,0.7751158583948385,0.7441522354839127,0.7553394439717727,0.7379575782757029,0.7480475714977058
LG_equal,roc,g1,0.8152956241372923,0.813681829410501,0.7996515532913404,0.8302165543688481,0.8019219903544675,0.814008393601376
LR_0.2,FP,g0,0.0649742312418162,0.1045962605296836,0.0649742312418162,0.05865582328161719,0.06164089790848286,0.06164089790848286
LR_0.2,FP,g1,0.31883280058671315,0.4392355036580617,0.31514368344373744,0.31118440742563785,0.307338253579484,0.3151059760530888
LR_0.2,FN,g0,0.5696077149395228,0.4890768224910101,0.5704648577966656,0.5721340307289964,0.5687505720823799,0.5616077149395228
LR_0.2,FN,g1,0.14938622578391988,0.0965613804472348,0.15782508232312292,0.1512365048920707,0.1535256709418093,0.15614612347450404
LR_0.2,roc,g0,0.6827090269093306,0.7031634584896531,0.6822804554807591,0.6846050729946933,0.6848042650045686,0.6883756935759973
LR_0.2,roc,g1,0.7658904868146836,0.7321015579473518,0.76351561711657,0.7687895438411457,0.7695680377393532,0.7643739502362035
LR_0.1,FP,g0,0.0649742312418162,0.1045962605296836,0.0649742312418162,0.05865582328161719,0.06164089790848286,0.06164089790848286
LR_0.1,FP,g1,0.31883280058671315,0.4392355036580617,0.31514368344373744,0.31118440742563785,0.307338253579484,0.3151059760530888
LR_0.1,FN,g0,0.5696077149395228,0.4890768224910101,0.5704648577966656,0.5721340307289964,0.5687505720823799,0.5616077149395228
LR_0.1,FN,g1,0.14938622578391988,0.0965613804472348,0.15782508232312292,0.1512365048920707,0.1535256709418093,0.15614612347450404
LR_0.1,roc,g0,0.6827090269093306,0.7031634584896531,0.6822804554807591,0.6846050729946933,0.6848042650045686,0.6883756935759973
LR_0.1,roc,g1,0.7658904868146836,0.7321015579473518,0.76351561711657,0.7687895438411457,0.7695680377393532,0.7643739502362035
LR_0.01,FP,g0,0.008256446223883185,0.008256446223883185,0.008256446223883185,0.008256446223883185,0.005271371597017513,0.008256446223883185
LR_0.01,FP,g1,0.05170596537838847,0.034391680454821306,0.03453591740154071,0.044151302016925326,0.042177717946741154,0.049693596563537196
LR_0.01,FN,g0,0.8536780356688825,0.8642043514583561,0.8449823834949693,0.8431517198794086,0.855508699284443,0.8344560677054955
LR_0.01,FN,g1,0.51776664046489,0.5703590035420391,0.5635872935626306,0.5402326391084316,0.5462564159096213,0.5422317893834439
LR_0.01,roc,g0,0.6878205759986727,0.6862939688872025,0.6811273018954905,0.6777317924675406,0.6855105751626149,0.6860724700259881
LR_0.01,roc,g1,0.8270201731321727,0.8230885399960574,0.8221964354138522,0.8229160733271932,0.8240719576186372,0.8242507396238701
DT_0.2,FP,g0,0.1429989233140492,0.17399820733336957,0.11249967179778542,0.13539795235310711,0.13305415719675778,0.2051494118063179
DT_0.2,FP,g1,0.44458484311155655,0.44100217645279705,0.408197725102744,0.394796419626425,0.5588804611470559,0.42039052600574456
DT_0.2,FN,g0,0.5000480185972177,0.44891300715557014,0.4661300352330101,0.5107142493915949,0.556573389996731,0.48479612073662415
DT_0.2,FN,g1,0.13344935163488372,0.13142534083509405,0.1296180543468374,0.13537457912108014,0.09119802264784183,0.14484511871901987
DT_0.2,roc,g0,0.7345239360062326,0.7400337955459465,0.763330628781776,0.7166041178805107,0.7196419039355791,0.7347959928008752
DT_0.2,roc,g1,0.8095548327060257,0.8134809444257514,0.822982308499063,0.8187920799176845,0.8141942607181537,0.8148329448816304
